"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,41,39,"B0BXX7Y9K8",true,18.99,"USD",25.99,7,26.93,37,4.4,"https://www.amazon.com/dp/B0BXX7Y9K8","162.80",false,false,false,false,"Magnetic Drawing Board for Toddlers 1-3, Magnetic Dot Board with Magnetic Pen & Beads, Doodle Board Montessori Toys for 2-...","https://m.media-amazon.com/images/I/71yfcH8EKgL._AC_UL320_.jpg"
1,42,40,"B07THCFJMZ",true,16.13,"USD",19.99,3.86,19.31,14130,4.5,"https://www.amazon.com/dp/B07THCFJMZ","63585.00",false,false,false,false,"FLUESTON Toys for Girls Boys LCD Kids Writing Tablet 10 Inch Drawing Pad, Colorful Screen Doodle Learning Board for Presch...","https://m.media-amazon.com/images/I/81hHTtCRjML._AC_UL320_.jpg"
1,43,41,"B0BX3VBSZN",false,11.99,"USD",0,0,0,11,4.2,"https://www.amazon.com/dp/B0BX3VBSZN","46.20",false,false,false,false,"Magnetic Drawing Board for Toddlers, Large Magnetic Doodle Board with Pen and 20 Images Booklet, Magnetic Travel Toys for ...","https://m.media-amazon.com/images/I/71gr29xGruL._AC_UL320_.jpg"
1,44,42,"B0756FQ8ZG",true,11.99,"USD",19.99,8,40.02,5314,4.2,"https://www.amazon.com/dp/B0756FQ8ZG","22318.80",false,false,false,false,"AiTuiTui Magnetic Drawing Board Mini Travel Doodle, Erasable Writing Sketch Colorful Pad Area Educational Learning Toy for...","https://m.media-amazon.com/images/I/71JLN6lGyvL._AC_UL320_.jpg"
1,45,43,"B0BJ94RQFM",false,22.98,"USD",0,0,0,17,4.8,"https://www.amazon.com/dp/B0BJ94RQFM","81.60",false,false,false,false,"HsngYHL Magnetic Drawing Board Toy for Kids, 7 in 1 Magnet Writing Painting Colorful Doodle Sketch Pad Educational Learnin...","https://m.media-amazon.com/images/I/81XqxXoVshL._AC_UL320_.jpg"
1,47,45,"B073F9H93D",true,19.99,"USD",29.99,10,33.34,7963,4.6,"https://www.amazon.com/dp/B073F9H93D","36629.80",false,false,false,false,"SGILE Magnetic Drawing Board Toy for Kids, Large Doodle Board Writing Painting Sketch Pad, Blue","https://m.media-amazon.com/images/I/71+Lq2XyykL._AC_UL320_.jpg"
1,48,46,"B0BVDJ78SV",false,19.99,"USD",0,0,0,21,4.6,"https://www.amazon.com/dp/B0BVDJ78SV","96.60",false,false,false,false,"Cheffun Magnetic Drawing Doodle Board for Kids - Large Magnetic Board Drawing Pad for Kids and Toddlers, Magnetic Dot Art,...","https://m.media-amazon.com/images/I/71jadaFCPkL._AC_UL320_.jpg"
1,49,47,"B0BWY4DBSB",false,19.99,"USD",0,0,0,10,3.5,"https://www.amazon.com/dp/B0BWY4DBSB","35.00",false,false,false,false,"Magnetic Drawing Board for Kids Toddlers Large Doodle Board with 2 Magnetic Pens Rabbit Magnetic Dot Art Montessori Educat...","https://m.media-amazon.com/images/I/81LJJGxMZmL._AC_UL320_.jpg"
1,53,51,"B07VJHYKDH",false,29.95,"USD",0,0,0,1632,4.4,"https://www.amazon.com/dp/B07VJHYKDH","7180.80",false,false,false,false,"ikidsislands IKS95R [Large Size] Magnetic Drawing Board for Toddlers, Color Magna Erasable Doodle Pad for Kids, Mess Free ...","https://m.media-amazon.com/images/I/71JcSytQzhL._AC_UL320_.jpg"
1,55,53,"B07MKZLRT7",true,11.99,"USD",21.99,10,45.48,709,4.6,"https://www.amazon.com/dp/B07MKZLRT7","3261.40",false,false,false,false,"Play22 Magnetic Drawing Board - STEM Educational Learning ABC Letters Kids Drawing Board - Writing Board for Kids Erasable...","https://m.media-amazon.com/images/I/61cc1cRHJyL._AC_UL320_.jpg"
1,59,57,"B07D989J5Y",true,14.97,"USD",19.99,5.02,25.11,4014,4.6,"https://www.amazon.com/dp/B07D989J5Y","18464.40",false,false,false,false,"Cra-Z-Art Retro Magna Doodle Magnetic Drawing Board for kids 3 and up, Blue/White","https://m.media-amazon.com/images/I/91CaD3R86BS._AC_UL320_.jpg"
1,60,58,"B07ZC1GBKW",false,15.97,"USD",0,0,0,5160,4.4,"https://www.amazon.com/dp/B07ZC1GBKW","22704.00",false,false,false,false,"Chuchik Toys Magnapad Magnetic Drawing Board – Interactive Alphabet Letter Tracing Board Game for Ages 3-5 – Portable Kids...","https://m.media-amazon.com/images/I/617a7clbqPL._AC_UL320_.jpg"
