Review
"Un loc foarte original si placut. Mancare excelenta. Serviciul si personalul foarte placut.
0
0"
"…servire ireproșabilă,cafea COOL, prăjituri ca in vremurile bune…
nota 20 +
0
0"
"Foarte frumoasa si intima atmosfera. Personalul politicos si decorul natural ingrijit.
0
0"
"Foarte frumos localul, personal amabil, o sa revin cu siguranta.
0
0"
"Foarte profi băieții, cel mai gustos cappuccino.
0
0"
"Great coffee ️ and wines.
I enjoyed the time spent there.
Also the desserts are very good.
0
0"
"Excellent choice! ️
0
0"
"O ambianta plăcută pentru o ieșire alături de prieteni.
0
0"
"I loved this place. Tasty drinks and great design and music. The staff was really friendly. It's a place where you can relax a little.
0
0"
"O seara grumoasa
0
0"
"Una dintre cele mai gustoase cafele ️
Merita incercata si cafeaua cu “gust de Craciun”, cu scortisoara si vanilie
0
0"
"Cafea e ok, PERSONAL GROAZNIC, majoritatea personalului este in regula, mai putin 2 angajați, este un baiat cu ochelari, inalt si masiv si cu parul brunet.
Locuiesc in blocul din care face parte cafeneaua, va spun sincer ca si eu am lucrat ca barista si ospatar si stiu ce insemna sa fii stresat in astfel de job uri dar pe cuvant ca nu am vazut om atat de ignorat, nervos, dificil!
O data mi am luat cafea si cred ca au refolosit cafeaua din portafiltru (parte espresor ului de unde curge cafeaua).
… – afișați
0
0"
"worst service ever!!! If you see a big guy with glasses and short brown hair please avoid this place. This guy should not be allowed to work with the public.
Firstly I asked for a coffee and told him that I only got cash so he would know to veryfi the change. He told me on a nervous voice that he dosen't have cash and if I wanna pay with cash in this century I'm too old to drink coffe there!!! I strongly recommend to fire this guy immediately
0
0"
"Warm and cosy atmosphere, welcoming; good prices. A good place to unwind after a day's work.
0
0"
"Decided to have a morning coffee here because of the very nice place from outside. But i felt very uncomfortable because the best sunny place (in a cold autumn morning) where i wanted to sit outside was busy by Batista's coffee and cigarettes, like she was the guest, not me, as a customer.The first and the last time I visited this nice place
0
0"
"Aici se începe ziua cu o cafea deosebita.
0
0"
"️
0
0"
"Cafea excelenta!
0
0"
"O locatie superba! Servirea de 1000 se steluțe! Cele mai bune băuturi din oras, va spune asta fata care chiar a vizitat localuri!
Prajituri gustoase, băuturi dupa reteta tradiționala si personalul mai mult decat profi!

A devenit o tradiție venirea aici! Felicitari si mulțumiri lui Mihai si doamnei care ne-a servit acum 2 zile!
0
0"
"Cel mai bun Long Island pe care l-am baut vreodata! A devenit o traditie sa vin aici.
Felicitari lui Mihai!
0
0"
"Am fost cu cineva la o clinica din apropiere și aveam de așteptat vreo ora. Asa ca i-am găsit… servire ok, frappe-ul ok, prețul corect!
0
0"
"Just wasted 28 lei on two rancid iced coffees that we had to put in the garbage, so bitter and watery I don’t understand how it could be so bad
0
0"
"A nice, cozy bar to drink a coffee or some other drinks. The place is nice especially at night when the lights are on. The prices are ok, the service was fine, they tried to take us some pictures but I didn't get where to find them because I searched and found nothing. But I will get back for a coffee or something.
0
0"
"Prețuri moderate și servicii de calitate foarte bună!.
0
0"
"Atmosferă plăcută, servicii ireproșabile, cafeaua bunuță tare cu siguranță voi reveni
Recomand!
0
0"
"Even though we got there only 30 minutes before closure the waitress was extremely polite, friendly and professional. He also asked us if we want anything else to drink after the coffee shop closed. Great location and good services.
0
0"
"Maybe it was a bad day for the waitress but she seemed very unwelcoming and took 30-40minutes to open a bottle of wine. She continuously says no to our orders and everything is magically out of stock.
0
0"
"0
0"
"Bad service. Just bad.
0
0"
"Cafea foarte buna.
0
0"
"Cafea super bună
0
0"
"Super
0
0"
"0
0"
"Seara dacă vrei să stai la un pahar de vin lumina puternica de la beculete te orbește. Nu crează un spatiu intim.
0
0"
"0
0"
"Good coffee, great wine's, excellent service!
0
0"
"0
0"
"Lovely place
0
0"
"0
0"
"It's a really lovely place, very friendly staff, good prices and nice wine!
0
0"
"0
0"
"Good wine, really good tea + presentation of the tea itself, the lemonades are good and it is the type where you can have a good conversation with friends."
