"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
12,8,107,"B0BZT64ZZ4",true,152.99,"USD",169.99,17,10,31,4.9,"https://www.amazon.com/dp/B0BZT64ZZ4","151.90",false,false,false,false,"Sponsored Ad - Garsence Galvanized Raised Garden Bed Outdoor 8ft X 2ft X 1ft 12 in 1 Metal Modular Raised Garden Planter R...","https://m.media-amazon.com/images/I/71czhxlz08L._AC_UL320_.jpg"
1,26,108,"B0BR5CFKRY",true,79.99,"USD",89.99,10,11.11,292,4.4,"https://www.amazon.com/dp/B0BR5CFKRY","1284.80",false,false,false,false,"MIXC Wooden Raised Garden Bed with Legs, 32”L X 16”W, Elevated Reinforced Large Planter Box for Vegetable Flower Herb Outd...","https://m.media-amazon.com/images/I/7176-ElC8jL._AC_UL400_.jpg"
12,9,109,"B0BCVVN6G3",true,49.99,"USD",54.99,5,9.09,321,4.5,"https://www.amazon.com/dp/B0BCVVN6G3","1444.50",false,false,false,false,"Sponsored Ad - BUTUNITA Galvanized Raised Garden Bed Outdoor Metal for Gardening Vegetables Flower Garden Planter Box Larg...","https://m.media-amazon.com/images/I/81dBjWQ+fnL._AC_UL320_.jpg"
1,27,110,"B0BSW8RJSG",true,109.99,"USD",129.99,20,15.39,31,4.9,"https://www.amazon.com/dp/B0BSW8RJSG","151.90",false,false,false,false,"Garsence 17"" Tall Galvanized Raised Garden Bed, 12-in-1 Modular Metal Garden Beds 8ft X 2ft/5ft X 5ft Raised Planter Box G...","https://m.media-amazon.com/images/I/71VAtZ5kzpL._AC_UL400_.jpg"
1,28,111,"B079SQRL46",true,122.39,"USD",149.99,27.6,18.4,2519,4.5,"https://www.amazon.com/dp/B079SQRL46","11335.50",false,false,false,false,"Keter Urban Bloomer 12.7 Gallon Raised Garden Bed with Self Watering Planter Box and Drainage Plug, Dark Grey","https://m.media-amazon.com/images/I/91VfUFs5zjL._AC_UL400_.jpg"
13,1,112,"B0BGM15Z36",true,138.58,"USD",168.58,30,17.8,43,4.9,"https://www.amazon.com/dp/B0BGM15Z36","210.70",false,false,false,false,"Sponsored Ad - FarmGeo Raised Garden Bed Kit 17"" Tall Magnesium-Aluminum-Zinc Stainless Steel Metal Planter Box for Planti...","https://m.media-amazon.com/images/I/7136GABhG9L._AC_UL320_.jpg"
1,29,113,"B0BHJ295PJ",true,32.99,"USD",37.99,5,13.16,150,4.8,"https://www.amazon.com/dp/B0BHJ295PJ","720.00",false,false,false,false,"ZICOTO Premium Raised Garden Bed for Outdoors - Sturdy and Easy to Assemble Galvanized Steel Planter Box - Versatile Metal...","https://m.media-amazon.com/images/I/81DU51UgoSL._AC_UL400_.jpg"
13,2,114,"B0BRS3M5KP",false,109,"USD",0,0,0,18,4.6,"https://www.amazon.com/dp/B0BRS3M5KP","82.80",false,false,false,false,"Sponsored Ad - MFMRSLW Raised Garden Bed Galvanized Planter Raised Beds Outdoor for Gardening Vegetables Flowers Herbs Suc...","https://m.media-amazon.com/images/I/81sEnUVDF0L._AC_UL320_.jpg"
1,30,115,"B08M5CGX8F",false,99.99,"USD",0,0,0,276,4.2,"https://www.amazon.com/dp/B08M5CGX8F","1159.20",false,false,false,false,"SUNVIVI OUTDOOR Raised Planter Box, Self Watering Planter Boxes, Raised Garden Bed with Legs, Durable Raised Flower Bed We...","https://m.media-amazon.com/images/I/81ZkmBl2LpL._AC_UL400_.jpg"
13,3,116,"B0B5B2WQB5",false,39.99,"USD",0,0,0,73,4.2,"https://www.amazon.com/dp/B0B5B2WQB5","306.60",false,false,false,false,"Sponsored Ad - NACREEN Raised Garden Bed with Legs Planters for Outdoor Plants Garden Boxes Outdoor Raised Planter Box Per...","https://m.media-amazon.com/images/I/71nyY17MWnL._AC_UL320_.jpg"
