"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on May 24, 2022","Amazon CustomerAmazon Customer","yes","yes","Raised garden beds","We started with 2. We are so impressed that we ended up buying 2 more and are thinking about a 5th! They look amazing! We had 0 problems with the screws and nuts. I previously read that some others had issues.  It does take two people to set it up correctly but other than that. We love them!",5,"https://m.media-amazon.com/images/I/91gfVY2SbjL.jpg","-","https://www.amazon.com/gp/customer-reviews/RN5UGLFHFFP51/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","-","-"
"Reviewed in the United States on April 9, 2023","AF Hunter 1776AF Hunter 1776","yes","yes","Missing supports","We bought three of these and one box is missing all of the mid support beams to keep the sides from collapsing.  Luckily we bought three so we were able to pilfer from the other two to make this work and be somewhat sturdy but that meant we had to buy more nuts to hold it together where the supports should have been.  Needs better quality control but otherwise happy with the product so far. First pic is of the first completed box. Second is the one I’ve partially assembled but will need to steal midbox support beams from the other boxes to complete",3,"https://m.media-amazon.com/images/I/8144q01gb9L.jpg , https://m.media-amazon.com/images/I/91D5o5E-AvL.jpg","-","https://www.amazon.com/gp/customer-reviews/RCG6CRCORKPRZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on February 3, 2023","Bill Walker","yes","yes","Well..it is fairly thin.","It was easy to put together. It is fairly thin. The video I watched showed a bar across the top..to help stabilize it...however I got 4 wire type bars...which should be fine.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R12XU4O0NMPH6Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on September 1, 2022","Amazon Customer","yes","yes","Galvanized Raised Bed","Delivered quickly, not difficult to put together but the nuts and bolts were definitely not American made. Would be worth the cost to purchase US made nuts and bolts. We spent a good bit of time fiddling with nuts that didn't fit the bolts. Had to use screwdrivers and a pair of adjustable pliers to put it all together. The raised bed itself is fine, easily moved and pretty sturdy once we filled it.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R28J5TA6I4OZSV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on December 30, 2022","love buffalo check","yes","yes","the nuts are square and are hard to screw on","I like the size and look but the bolts and nuts that came with it to put it together are made horribly...The nuts are square and dont fit any socket...the screws strip as the nuts barely fit the thread...you cant hand tighten as they dont fit the screw head... i bought 20 of these and its taking a long time to put together...Ill look else where for my next 20 beds...to much of a hassle to put these square bolts on the screws..Upgrade your product people!! stop using the square nuts from the 70s...its 2022 and we use power tools!!!! meaning we use sockets on a drill that fit hex nuts...not square...gawd! and Im not buying nuts to put this together as I ALREADY paid for all these nuts and screws THAT should of worked that came with the product",2,"-","-","https://www.amazon.com/gp/customer-reviews/R1OJ4GAKEOFLF5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on July 25, 2022","Joseph Jordan","yes","yes","Erector Set in the Garden","64 screws and nuts to install.  Per container.Many of the nuts and bolts were machined by poor quality bolt threading machine.  They were not threaded accurately.  As a result, I could not merely tighten using my fingers.  The metal on the bolts chewed up my fingers.  I had to use wrench and screwdriver to install each and every one of the 64 bolts from beginning of threading to tightening.2 hours to assemble.Like having a giant Erector Set (TM) in the garden.Not buying it again.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1FOT7JG31OCCE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","-","-"
"Reviewed in the United States on September 11, 2022","Pat","yes","yes","Made in China","The company looked like an American company but product was made in China. Wouldn’t have purchased if I knew that.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R284EPQSORV555/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on September 23, 2022","ValVal","yes","yes","Great product for the money","This is a great product for the money.  Its the first raised bed I bought.  I have since brought other brands because they were on sale.  But went back to Land guard. There sturdier than the other beds I purchased and I really like the product.  This one will grow my garlic over winter and into next year.",5,"https://m.media-amazon.com/images/I/610CZK0MCyL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2OMUEYYPD5AL8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on February 17, 2023","DeSanne Fluitt","yes","yes","AMAZING Raised Garden Beds!!!","This makes my second time to purchase these beds!  I have a total of 7 raised beds by Landguard!! They have changed my vegetable growing beds forever!!Easy to Assemble, wonderful for the garden beds!! They are sturdy and have easily handled our crazy West Texas weather and sstill look amazing!!!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R309G1SOO4VLI0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on May 5, 2023","shaneshane","yes","yes","Lots of pieces","These are not bad. But putting them together is a pain. It could have used lock nuts to make it easier to assemble.  They are a little flimsy but cool none the less. I added legs, and a base which really makes it more functional and fun.",4,"https://m.media-amazon.com/images/I/7145wZiGLQL.jpg , https://m.media-amazon.com/images/I/81tV4mSTH9L.jpg","-","https://www.amazon.com/gp/customer-reviews/RAEI1RSGVOOYH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on February 28, 2023","Dan E. Schultheis","yes","yes","This is a rip off","The product is not even 1 foot high yet they advertise it as 2 feet high. It measures 11.4173 inches tall. It shouldn't cost anywhere near the price I paid.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3P1SK13S89DU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on May 15, 2023","Brian Edman","yes","yes","Worth the money","So I bought these because I was tired of bending down to pick vegetables. I got two of them. They came packaged well, there was no damage and they actually went together pretty easy. They are a bit more flimsy then I was hoping but after reading other reviews I was ready for that. When I was using the shovel I slammed it down on the edge and it bent it pretty good so you need to be careful when using tools around it. I figure if I keep getting dents around the top I'll probobly just use some boards and make a top rail to go around them and make them look nice. They are a perfect height and plenty big, so if that is my only problem I'm good with that. Right now I have two but if I decide to get another I will be ordering another one of these. Hope this helps.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2MSG4I4UOREQG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on May 6, 2023","Angie CAngie C","yes","yes","Corners dinged otherwise good","I bought this for my garden. The boxes must have been dropped hard during shipping  because all 6 panels were bent in the corners together. Had to bend them back a bit so panels could fit together. Besides that, it came with all the pieces and put it together by myself in about an hour. Size isn't exact 8x4x2, like other reviews stated.  Has a nice center support to hold  8 ft walls together. I would by another.",4,"https://m.media-amazon.com/images/I/61q3traFb1L.jpg , https://m.media-amazon.com/images/I/91b0t3w1b2L.jpg","-","https://www.amazon.com/gp/customer-reviews/R3VSFW6F257YEZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on April 21, 2023","Brenda C","yes","yes","wish I could afford more","wish I can afford more. The directions were simple but vague at the same time. But it was easy to follow based on the diagram. It was really easy to put together by myself. The only issue during installation where I needed help was the bars towards the bottom. I had to have my husband help. The nuts and bolts makes a tight seal as you hold the square nut and use a screwdriver to tighten it.I love this so much. Its way better than wood, where it may rot in a few years. So this works really well. I check how much it would cost for a DIY. Materials based of a youtube video I watched came out to about $100. So this isn’t a bad price without all of the labor to buying and cutting materials and building something similar.  I wish I can afford more.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2N08XZPTQB535/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on March 28, 2023","M","yes","yes","Sturdy and Nice-looking Garden Bed","Great, sturdy, attractive raised beds for vegetable gardening!After running out of space for raised beds and pots on my deck, I wanted to expand and add some ground-based raised beds for this year. I liked the style and concept of these types of galvanized metal raised beds and had seen them used in the gardens of some popular gardening channels on YouTube/TikTok over the past few years and always wanted some. The ones advertised on those channels, however, were at least twice the cost of these, and after digging into the details on both, they are effectively the same, apart from color options, which I didn't feel was worth paying twice as much for. I appreciate the solid construction and material, and I'm sure they will last many seasons. I also appreciate that they're food safe for vegetable and herb gardening. Overall, these seem like a good value for what they are, and I'll likely buy more as I find more places to put them.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3P6ICI0EVJC00/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on March 18, 2023","Michelle  pMichelle  p","yes","yes","Trying to be a farmer","Exactly what I was looking for. Priced better then others.",5,"https://m.media-amazon.com/images/I/81iCgOYTdKL.jpg , https://m.media-amazon.com/images/I/91AopDZ8aqL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3UBZU6HZEX22B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on March 11, 2022","E. Ying","yes","yes","This is a good buy. Would buy another one if it wasn't out of stock.","For the price and quality, this is a good buy. It's not crazy sturdy, but sturdier than the others I have bought. The bed is taller than you will think, and it takes more than 2 cubic yards of soil (2.3 I think to be exact), so expect to haul a lot of soil to fill it. I would buy another one, unfortunately, it's always out of stock.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R125AFLWAKE29X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","-","-"
"Reviewed in the United States on March 31, 2023","Alyk","yes","yes","Dimensions advertised are wrong.","As others have mentioned the instructions are more like a list of package contents. Little bit of deciphering needs to be done to figure out how to put it together. The item was also five to six inches shorter than advertised. Instead of being 8 ft by 4 ft by 2 ft it was 7.5 feet by 4 ft by 2 ft. Very disappointed since I purposefully got the 8-ft section to fill in an area in the yard.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R320QP8M4OAJYJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on April 8, 2023","James A.James A.","yes","yes","Arrived damaged and missing parts","The box arrived with a hole and parts falling out. The box is very thin and not sturdy enough to hold something this heavy. The bag of hardware contained only nuts, no screws. I had to go to the hardware store and buy screws. Once assembled, it is very flimsy",1,"https://m.media-amazon.com/images/I/71cx-hjPwxL.jpg","-","https://www.amazon.com/gp/customer-reviews/RAD2ZCNRJFCKD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on December 7, 2022","Beverly Gilbert","yes","yes","Cheap Quality","Very cheap quality: half-way through assembly we decided to take it apart and ship it back. Opted for the Vego instead and so glad we did, much higher quality!",1,"-","-","https://www.amazon.com/gp/customer-reviews/R129KUORRENOAK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","B09D7QDLYC","Size: 8×4×2ft | Color: 1-silver"
"Reviewed in the United States on April 26, 2022","Non ya ","yes","yes","Missing all hex nuts. Cannot put together","It’s missing  all of the hex nuts 80 of them",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1EL8UMVFW1MYV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09D7QDLYC","-","-"
